article_id,article_header,coder,ldi,relevant,start_date,end_date,date_precision,site_name,site_location,site_type,initiator,group_at_site,damage_type
03-2022-43,UKRAINES CULTURAL HERITAGE FACES DESTRUCTION,Comfort Folakemi Oshagbemi,2025-07-12 19:32:43,Yes,,,,Unspecified museum in the village of Ivanko that housed works of Maria Pryimachenko.,Ivanko,Museum,Russian forces,N/A,Fire
09-2024-97,Deadly Strike Hits Ukraine's Lviv as Zelensky Cоnfirms Reshuffle,Comfort Folakemi Oshagbemi,2025-07-12 19:38:04,Yes,08/28/2022,08/28/2022,,Lviv Historic Center ,Lviv,Other,Russian forces,Civilians,Airstrike
03-2022-177,Ukraine: UNESCO Statement Following the Adoption of the U.N. General Assembly Resolution,Comfort Folakemi Oshagbemi,2025-07-12 19:40:42,Yes,03/02/2022,03/02/2022,,Karazin Kharkiv National University,Kharkiv,Other,Russian forces ,,Other
01-2024-104,Russians destroy Roman Shukhevych Museum in Lviv,Comfort Folakemi Oshagbemi,2025-07-12 19:41:51,Yes,01/01/2024,01/01/2024,,Shukhevych Museum and bas-relief commemorating Roman Shukhevych,Bilohorshcha near Lviv,Museum,Russian forces ,,Fire
10-2023-53,Destruction of Kakhovka dam causes almost $14 billion in damage,Comfort Folakemi Oshagbemi,2025-07-12 19:43:26,Yes,10/17/2023,,,Museum of Polina Raiko.,Kakhovka,Museum,Russian forces ,Civilians ,Other
03-2022-640,"Russian invaders fire on police department, hospital in Chernihiv",Comfort Folakemi Oshagbemi,2025-07-12 19:44:53,Yes,03/02/2022,03/02/2022,,Unnamed ,Chernihiv,Monument,Russian troops,civilians ,"Shelling (artillery fire, bullet)"
10-2023-50,British Ambassador visits Chernihiv to see recovery after Russian occupation,Comfort Folakemi Oshagbemi,2025-07-12 19:46:39,Yes,08/19/2023,08/19/2023,, Chernihiv ’ s musical and drama theatre , Chernihiv ,Opera/theatre,Russian forces,civilians,Airstrike
01-2023-206,Committee for the Protection of Cultural Property in the Event of Armed Conflict endorses monitoring measures,Comfort Folakemi Oshagbemi,2025-07-12 19:48:20,Yes,,,,Odesa Fine Arts Museum,Odesa,Museum,,,Airstrike
09-2022-93,Hospitals and schools blasted,Comfort Folakemi Oshagbemi,2025-07-12 19:49:33,Yes,09/05/2022,09/05/2022,,Unnamed museum ,Mykolaiv,Museum,Russian forces ,Russian armed forces and civilians,"Shelling (artillery fire, bullet)"
03-2022-224,Cancellation and destruction of heritage: how war impacts culture,Comfort Folakemi Oshagbemi,2025-07-12 19:51:14,Yes,03/02/2022,03/02/2022,,Museum of Local and Historical History,Ivankiv,Museum,Russian forces ,,"Explosion (bomb, explosive detonation)"
02-2023-62,"Russia's Culture Minister, Already Sanctioned by the EU, Has Been Added to the US Sanctions List",Comfort Folakemi Oshagbemi,2025-07-12 19:52:16,Yes,,,,Kherson Regional Art Museum,Melitopol,Museum,Russian forces,Russian forces,Looting/stealing
04-2023-109,"Russia-Ukraine war, LIVE: dramatic video shared by Volodimir Zelenski of Russian attack on historic Kharkiv museum",Comfort Folakemi Oshagbemi,2025-07-12 19:54:38,Yes,04/25/2023,04/25/2023,,Unnamed Kharkov local history museum,Kharkov,Museum,Russiam forces ,civilians,Airstrike
04-2022-134,"War in Ukraine has damaged at least 53 cultural sites, says Unesco",Comfort Folakemi Oshagbemi,2025-07-12 19:56:46,Yes,02/24/2022,04/01/2022,,"Ivankiv museum, the Orthodox church of Kamaianka, St. Tikhon in Zadonsky,  church of St. Nicholas in Myrlikiysky, the chapel of the martyr Tatiana, and the church of the Transfiguration.","Kiev, Izium, Zaporiyia region, and Myrlikiysky",Other,Russian forces ,,Other
07-2023-285,UNESCO condemns Russian attack on Odesa's historic center,Comfort Folakemi Oshagbemi,2025-07-12 19:58:15,Yes,07/17/2023,07/21/2023,,"Odesa Archaeological Museum, the Odesa Maritime Museum, and the Odesa Literature Museum",Odesa,Museum,Russian forces,,Airstrike
03-2022-322,How Mariupol became the epicenter of horror,Comfort Folakemi Oshagbemi,2025-07-12 20:02:03,Yes,03/16/2022?,,,Drama Theater,Mariupol ,Opera/theatre,Russian forces,Russian forces,"Shelling (artillery fire, bullet)"
11-2023-153,Aftermath Of Russian Attack On Odesa,Comfort Folakemi Oshagbemi,2025-07-12 20:02:58,Yes,11/06/2023,11/06/2023,,Odesa National Fine Arts Museum,Odesa,Museum,Russian forces,,Airstrike
04-2023-174,Russia missile attack on Ukrainian city kills one: officials,Comfort Folakemi Oshagbemi,2025-07-12 20:04:13,Yes,04/05/2023,04/05/2023,,,Kupiansk,Museum,Russian forces ,,Airstrike
04-2023-172,Second body retrieved from rubble of museum in Kupiansk,Comfort Folakemi Oshagbemi,2025-07-13 17:24:49,Yes,04/25/2023,04/25/2023,,Unnamed local history museum in Kupyansk,Kupyansk,Museum,Russian forces,cvilians ,Airstrike
04-2022-5,In Photos: Here Are The Ukrainian Cultural Sites Damaged Amid Russian Invasion,Comfort Folakemi Oshagbemi,2025-07-13 17:27:04,Yes,,,,"The Drobitsky Yar Holocaust Memorial, the Ivankiv Historical and Local History Museum, and St. Archangel Michael Church in Mariupol","Kharkiv, outside of Kyiv, and Mariupol ",Other,Russian forces ,,Other
04-2022-5,In Photos: Here Are The Ukrainian Cultural Sites Damaged Amid Russian Invasion,Comfort Folakemi Oshagbemi,2025-07-13 17:27:04,Yes,,,,"The Drobitsky Yar Holocaust Memorial, the Ivankiv Historical and Local History Museum, and St. Archangel Michael Church in Mariupol","Kharkiv, outside of Kyiv, and Mariupol ",Other,Russian forces ,,Other
04-2022-5,"Department Press Briefing – April 18, 2022",Comfort Folakemi Oshagbemi,2025-07-13 17:27:04,Yes,,,,"The Drobitsky Yar Holocaust Memorial, the Ivankiv Historical and Local History Museum, and St. Archangel Michael Church in Mariupol","Kharkiv, outside of Kyiv, and Mariupol ",Other,Russian forces ,,Other
04-2022-5,"Department Press Briefing – April 18, 2022",Comfort Folakemi Oshagbemi,2025-07-13 17:27:04,Yes,,,,"The Drobitsky Yar Holocaust Memorial, the Ivankiv Historical and Local History Museum, and St. Archangel Michael Church in Mariupol","Kharkiv, outside of Kyiv, and Mariupol ",Other,Russian forces ,,Other
07-2023-518,About Uah 10M Needed To Preserve Skovoroda Museum Destroyed By Russians,Comfort Folakemi Oshagbemi,2025-07-13 17:28:04,Yes,05/07/2022,05/07/2022,,National Literary and Memorial Museum of Skovoroda,Village of Skovorodynivka in Kharkiv region,Other,Russian forces,,Airstrike
01-2024-97,Russians destroy Roman Shukhevych Museum in Lviv,Comfort Folakemi Oshagbemi,2025-08-19 01:42:57,Yes,01/01/2024,01/01/2024,,Roman Shukhevych Museum ,Lviv,Museum,Russia,,Fire
07-2023-482,Unesco condemns Russian attack on Odessa's World Heritage site,Comfort Folakemi Oshagbemi,2025-08-19 01:44:26,Yes,07/23/2023,07/23/2023,,"The Archaeological Museum, the Maritime Museum and the Museum of Literature",Odeswsa,Museum,Russian forces,,Airstrike
07-2023-620,U.S.: dozens of journalists have been killed in Russian-Ukraine war,Comfort Folakemi Oshagbemi,2025-08-19 01:46:10,Yes,,,,"""The Orthodox cathedral""",Odessa,"Place of worship (mosque, church, synagogue, cathedral, temple, chapel)",Russia,,Airstrike
01-2023-10,Ukraine is racing to 3D scan its monuments in case they’re bombed in the war and need restoration,Comfort Folakemi Oshagbemi,2025-08-19 01:47:14,Yes,,,,The Skovoroda museum,Kharkiv,Museum,Russian forces,,Fire
10-2022-210,RUSSIA pounds civilian targets in Kyiv in escalation of conflict,Comfort Folakemi Oshagbemi,2025-08-19 01:48:47,Yes,10/10/2022,10/10/2022,,Unknown museum ,Kyiv,Museum,Russian forces,,Airstrike
07-2023-217,July 23 Russian missile attack on Odesa,Comfort Folakemi Oshagbemi,2025-08-19 01:49:31,Yes,07/23/2023,07/23/2023,,The House of Chyzhevych,,Other,Russian forces,civilians,Airstrike
03-2022-107,,Comfort Folakemi Oshagbemi,2025-09-30 03:27:41,No,,,,,,UNKNOWN,,,UNKNOWN
04-2022-13,Over 50 landmark Ukraine sites damaged in Russian invasion: UN -- Brownstein: Conductor Boris Brott 'wasn't 78 years old - he was 78 years young' -- Brownstein: Conductor Boris Brott 'wasn't 78 years old - he was 78 years young',Comfort Folakemi Oshagbemi,2025-09-30 03:33:27,Yes,,,Ukraine's cultural ministry had recorder 135 on Friday,,North and Eastern Ukraine,UNKNOWN,Russian troops,,UNKNOWN
04-2022-13,Over 50 landmark Ukraine sites damaged in Russian invasion: UN -- Brownstein: Conductor Boris Brott 'wasn't 78 years old - he was 78 years young' -- Brownstein: Conductor Boris Brott 'wasn't 78 years old - he was 78 years young',Comfort Folakemi Oshagbemi,2025-09-30 03:36:13,Yes,,,Ukraine's culture ministry on Friday had recorded 135 instances of damage,,North and Eastern Ukraine,UNKNOWN,Russian troops,,UNKNOWN
03-2022-107,Asia Business Report - 10:30 PM GMT,Marvin Nathan,2025-09-30 18:08:32,No,,,,,,UNKNOWN,,,UNKNOWN
